"task","time","date"
"Wave again","1:47:15 PM","10/13/2015"
"Attempting to move all finance related activities to Wave","2:00:42 PM","10/13/2015"
"Need Mike Target","3:50:20 PM","10/13/2015"
"Checking out ticketing systems","3:58:50 PM","10/13/2015"
"Summit materials","4:14:14 PM","10/13/2015"
"Really considering promo items..","4:24:06 PM","10/13/2015"
"presentation","5:42:19 PM","10/13/2015"
"Got Brian, ate subway. Doing presentation for summit","6:51:08 PM","10/13/2015"
"Meeting with ICEAP","9:21:07 AM","10/14/2015"
"Getting receipts together for Bob","10:30:31 AM","10/17/2015"
"Coffee","10:51:38 AM","10/17/2015"
"Making FB event for Mike","10:52:44 AM","10/17/2015"
"FoodBank website fix","11:28:32 AM","10/17/2015"
"lunch","11:55:49 AM","10/17/2015"
"Back to website thing","12:09:22 PM","10/17/2015"
"reworking script for video","12:38:28 PM","10/17/2015"
"Didn't do script","4:05:41 PM","10/17/2015"
"Doing script","4:05:45 PM","10/17/2015"
"Edited video (changes some scenes)","7:54:34 PM","10/17/2015"
"Finished script for the day","7:54:41 PM","10/17/2015"
"Starting Desiree's project questions","7:54:54 PM","10/17/2015"
"Done Desiree's Questions - Destiny","8:43:05 PM","10/17/2015"
"Made pie chart of activities","9:31:32 AM","10/18/2015"
"Reviewing to-do list","1:20:56 PM","10/18/2015"
"Arranging boardroom for St.FX Majors project","1:29:14 PM","10/18/2015"
"Emailing Volta","1:42:32 PM","10/18/2015"
"Emailed Partnership","2:16:36 PM","10/18/2015"
"Updating spending with budget","2:23:07 PM","10/18/2015"
"Bathroom then starting fundraising strategy","2:27:42 PM","10/18/2015"
"Fundraising / Investor Prep","2:38:38 PM","10/18/2015"
"Scoping out involvement - ACOA & NSBI","2:48:28 PM","10/18/2015"
"Setup meeting with NSBI","3:06:28 PM","10/18/2015"
"SUP sale package","4:08:11 PM","10/18/2015"
"Checked out fundraising methods","7:11:18 PM","10/18/2015"
"Looked into funding methods from VC","7:11:34 PM","10/18/2015"
"Viewed government programs (funding)","7:11:50 PM","10/18/2015"
"Applying steps from Startups: How to Hustle with AngelList in 10 Steps","7:17:40 PM","10/18/2015"
"Dancing it up with Firebase (Database)","9:06:51 PM","10/18/2015"
"Data mining","9:12:03 PM","10/18/2015"
"Meeting with Steve","9:26:43 AM","10/19/2015"
"Putting together Steves words","10:51:34 AM","10/19/2015"
"Sending update to Bob Pelley (Innovacorp)","10:57:21 AM","10/19/2015"
"Arranging setup with active ACOA rep","11:07:50 AM","10/19/2015"
"Emailed Elevate (Matt from Chronicle)","11:14:30 AM","10/19/2015"
"Writing letter to Annette Verschuren","11:25:11 AM","10/19/2015"
"Emailing lawyer","11:49:40 AM","10/19/2015"
"Emailed voiceover gal","11:51:05 AM","10/19/2015"
"Lunch ftw","11:59:21 AM","10/19/2015"
"Cooking.. it's taking so damn long (oven)","12:45:03 PM","10/19/2015"
"Phoning ACOA","1:30:12 PM","10/19/2015"
"Creating tickets","9:45:36 AM","10/20/2015"
"Meeting with MTCC","10:33:30 AM","10/20/2015"
"Demo","10:47:30 AM","10/20/2015"
"Demo 2","10:47:51 AM","10/20/2015"
"demo 3","10:48:21 AM","10/20/2015"
"SP Meeting","2:51:01 PM","10/20/2015"
"NSBI Meeting","11:29:02 AM","10/21/2015"
"Stfx su meeting","1:55:36 PM","10/21/2015"
"Majors meeting","5:23:16 PM","10/21/2015"
"Hr Pros meeting","9:10:21 AM","10/22/2015"
"Arranging time to meet Stephane","11:19:27 AM","10/22/2015"
"Scoping out Stephane & assistance","11:23:09 AM","10/22/2015"
"Finalizing plan for StFX, NSBI, ACOA & NRC","11:26:50 AM","10/22/2015"
"Went to lunch with Brian","2:03:05 PM","10/22/2015"
"Back to Fundraising Project","2:03:22 PM","10/22/2015"
"Drove home from Starbucks","3:21:03 PM","10/22/2015"
"Fundraising pitch thing","3:44:11 PM","10/22/2015"
"Downloaded unity engine (learning)","10:08:08 PM","10/22/2015"
"Read intro documentation for Unity (learning)","10:08:23 PM","10/22/2015"
"Played with Unity interface/terrains (learning)","10:08:44 PM","10/22/2015"
"Hfx Foreign Affairs Meeting","1:17:27 PM","10/23/2015"
"Hfx Foreign Affairs Meeting (fundraising)","1:18:31 PM","10/23/2015"
"Demo","1:34:19 PM","10/23/2015"
"Proposal","4:08:30 PM","10/23/2015"
"Proposal for Gov't Funding","4:08:51 PM","10/23/2015"
"Walking to car. Rush hour. fun.","4:48:22 PM","10/23/2015"
"Email drafting","9:50:26 PM","10/23/2015"
"Learning Unity","12:16:35 PM","10/24/2015"
"Scoped out competitor","1:59:20 PM","10/24/2015"
"Back to unity","1:59:25 PM","10/24/2015"
"Made my first game! Coffee break :)","3:26:10 PM","10/24/2015"
"Unity for fine-tuning","8:21:56 PM","10/24/2015"
"Unity","1:49:04 PM","10/25/2015"
"Sent email reminders to folks I'm meeting with tmr","3:19:30 PM","10/25/2015"
"Lynda.com | Unity","4:10:54 PM","10/25/2015"
"Quick lesson on Unity","10:57:11 AM","10/26/2015"
"Meeting with Acadia SU","11:06:41 AM","10/26/2015"
"Meeting with JD","2:08:06 PM","10/26/2015"
"Emailing Membertou TCC","11:14:41 AM","10/27/2015"
"Ticket Reporting from yesterday installments","11:48:48 AM","10/27/2015"
"Test","11:49:37 AM","10/27/2015"
"Unity video lesson","12:04:01 PM","10/27/2015"
"Thinking of innovative ways data could be used","12:15:30 PM","10/27/2015"
"Scoping out candidates for reviews of Phased","12:28:43 PM","10/27/2015"
"Creating history preview for client","12:34:13 PM","10/27/2015"
"Well isn't this a sexy update","11:49:10 PM","10/28/2015"
"Blogged","12:00:43 PM","10/29/2015"
"Emailed Toon","12:00:54 PM","10/29/2015"
"Spoke on phone with Toon","12:01:00 PM","10/29/2015"
"Blogged","12:01:04 PM","10/29/2015"
"Emailed Steve Manley (Funding)","9:33:11 AM","11/2/2015"
"Emailed McKenzie (I3 Comp)","9:33:24 AM","11/2/2015"
"Expense reporting","10:24:17 PM","11/2/2015"
"Submitted expenses to innovacorp","11:14:16 PM","11/2/2015"
"Also paid everyone","11:14:30 PM","11/2/2015"
"Emailed CBC - Interviews","10:39:18 AM","11/4/2015"
"Propel ICT Application","10:39:34 AM","11/4/2015"
"Propel ICT","1:15:20 PM","11/5/2015"
"Making demo vid for Propel","1:28:07 PM","11/5/2015"
"Poolside emails","4:41:17 PM","11/7/2015"
"Finished setting up new marketing stack","10:17:18 AM","11/8/2015"
"Accessing update histories","10:16:28 AM","11/9/2015"
"Checking digi-mrk tools","11:02:01 AM","11/17/2015"
"Issue writing","11:17:49 AM","11/17/2015"
"Setting time/date with Membertou folks","11:20:22 AM","11/17/2015"
"Grant Thornton Talk","11:31:01 AM","11/17/2015"
"Embers Lunch","1:42:33 PM","11/17/2015"
"Meeting with Steve Manley","1:42:44 PM","11/17/2015"
"Meeting with Lindsay & Ardelle","10:12:11 AM","11/18/2015"
"Editing new NAIC research file","11:13:59 AM","11/18/2015"
"Met with Shawn Green","5:33:05 PM","11/18/2015"
"Pricing Strategy / Costing","5:33:17 PM","11/18/2015"
"Pricing","10:37:01 AM","11/19/2015"
"Meeting w. Louisburg Seafoods","11:09:46 AM","11/19/2015"
"Demo","3:40:20 PM","11/19/2015"
"Emailed Doug Milburn (mentor connect)","8:22:30 PM","11/19/2015"
"Emailed Jean/Steve re: Construction Industry Contact","8:22:54 PM","11/19/2015"
"Emailed Steve with pricing update news","8:23:05 PM","11/19/2015"
"Attended CBU event/conference","3:59:39 PM","11/20/2015"
"Emailed users to arrange dates for interviews","4:00:01 PM","11/20/2015"
"Confirmed dates to meet with 4 companies","4:00:16 PM","11/20/2015"
"Listened to VC pitches","4:00:25 PM","11/20/2015"
"Creating data reports for users","4:00:39 PM","11/20/2015"
